Date,Ticker,Company,Sector,Market Cap (B),Price,SEPA Score,Tech Score,Fund Score,RS Rank,EPS Growth %,Rev Growth %,Streak (days),Status,Strict,EPS Accel
2026-02-23,MU,"Micron Technology, Inc.",Technology,481.91,428.17,100,10,10,98,231.0,69.4,2,RETAINED,Y,Y
2026-02-23,WDC,Western Digital Corporation,Technology,97.62,285.52,100,10,10,98,251.5,31.5,2,RETAINED,Y,Y
2026-02-23,PPIH,"Perma-Pipe International Holdings, Inc.",Industrials,0.27,33.82,100,10,10,94,258.8,35.9,2,RETAINED,Y,Y
2026-02-23,GEV,GE Vernova Inc.,Industrials,225.29,830.34,100,10,10,91,1342.5,36.4,2,RETAINED,Y,Y
2026-02-23,CGAU,CGAU,--,0.00,19.05,96,10,9,95,456.6,30.7,2,RETAINED,Y,Y
2026-02-23,EFXT,EFXT,--,0.00,19.45,96,10,9,91,146.7,38.5,2,RETAINED,Y,Y
2026-02-23,DY,DY,--,0.00,429.73,96,10,9,90,225.6,33.9,2,RETAINED,Y,Y
2026-02-23,AEIS,AEIS,--,0.00,331.23,93,10,8,95,111.7,21.0,2,RETAINED,Y,Y
2026-02-23,HLIO,"Helios Technologies, Inc.",Industrials,2.46,74.23,93,10,8,90,114.6,22.7,2,RETAINED,Y,Y
2026-02-23,WPM,Wheaton Precious Metals Corp.,Basic Materials,68.37,150.38,93,10,8,90,316.6,25.2,2,RETAINED,Y,Y
2026-02-23,VIK,Viking Holdings Ltd,Consumer Cyclical,34.96,78.80,93,8,10,80,343.9,48.2,2,RETAINED,N,Y
2026-02-23,STX,Seagate Technology Holdings plc,Technology,89.65,411.11,91,9,9,97,74.4,30.8,2,RETAINED,Y,Y
2026-02-23,VISN,"Vistance Networks, Inc.",Technology,4.20,18.97,91,9,9,96,235.6,39.4,2,RETAINED,Y,Y
2026-02-23,ARIS,ARIS,--,0.00,21.01,90,8,9,98,93.7,70.9,2,RETAINED,Y,Y
2026-02-23,BELFB,BELFB,--,0.00,235.04,90,10,7,95,1136.1,19.4,2,RETAINED,N,Y
2026-02-23,NGL,NGL Energy Partners LP,Energy,1.49,11.98,90,10,7,93,243.8,11.0,2,RETAINED,N,Y
2026-02-23,SSRM,SSR Mining Inc.,Basic Materials,6.21,30.46,90,10,7,93,1078.1,19.4,2,RETAINED,N,Y
2026-02-23,FSM,Fortuna Mining Corp.,Basic Materials,3.77,12.27,90,10,7,92,989.5,-16.8,2,RETAINED,N,Y
2026-02-23,LUV,Southwest Airlines Co.,Industrials,26.94,52.09,90,10,7,90,116.8,15.8,2,RETAINED,N,Y
2026-02-23,MTZ,"MasTec, Inc.",Industrials,22.40,283.86,90,10,7,90,115.0,16.6,2,RETAINED,N,Y
2026-02-23,NOC,Northrop Grumman Corporation,Industrials,103.27,723.56,90,8,9,81,196.7,23.7,2,RETAINED,N,Y
2026-02-23,LITE,Lumentum Holdings Inc.,Technology,47.68,667.77,89,10,7,99,77.3,56.5,2,RETAINED,Y,N
2026-02-23,NGD,New Gold Inc.,Basic Materials,9.71,12.22,89,8,10,97,158.3,76.4,2,RETAINED,Y,Y
2026-02-23,IAG,IAMGOLD Corporation,Basic Materials,13.17,22.20,89,8,10,96,61.7,50.4,2,RETAINED,Y,Y
2026-02-23,FTI,TechnipFMC plc,Energy,26.10,63.49,88,10,7,90,37.8,11.8,2,RETAINED,N,Y
2026-02-23,GOLD,"Gold.com, Inc.",Financial Services,1.66,58.82,87,9,8,97,36.2,115.2,2,RETAINED,Y,Y
2026-02-23,SHIP,Seanergy Maritime Holdings Corp,Industrials,0.29,13.81,87,10,7,90,92.1,12.8,2,RETAINED,N,Y
2026-02-23,ALM,ALM,--,0.00,14.74,86,8,9,99,514.2,38.5,2,RETAINED,Y,Y
2026-02-23,KEP,Korea Electric Power Corporation,Utilities,28.82,22.45,86,8,9,93,269.7,21.4,2,RETAINED,Y,Y
2026-02-23,TPB,"Turning Point Brands, Inc.",Consumer Defensive,2.58,135.52,85,7,10,86,771.1,140.5,2,RETAINED,Y,Y
2026-02-23,ADI,ADI,--,0.00,355.03,85,8,8,85,101.3,26.9,2,RETAINED,Y,Y
2026-02-23,NVST,Envista Holdings Corporation,Healthcare,4.79,29.12,85,8,8,85,82.8,21.7,2,RETAINED,Y,Y
2026-02-23,AG,AG,--,0.00,27.55,84,10,6,99,100.2,65.4,2,RETAINED,Y,N
2026-02-23,CSTM,CSTM,--,0.00,25.44,84,10,6,94,102.7,38.3,2,RETAINED,Y,N
2026-02-23,PRIM,Primoris Services Corporation,Industrials,9.15,169.36,84,10,6,91,75.3,25.1,2,RETAINED,Y,N
2026-02-23,WFRD,Weatherford International plc,Energy,7.49,104.44,84,8,8,86,81.6,8.0,2,RETAINED,N,Y
2026-02-23,GOLF,Acushnet Holdings Corp.,Consumer Cyclical,5.99,102.17,84,7,10,79,4246.9,47.7,2,RETAINED,N,Y
2026-02-23,TOL,"Toll Brothers, Inc.",Consumer Cyclical,15.39,162.00,84,7,10,75,151.4,84.1,2,RETAINED,N,Y
