Date,Ticker,Company,Sector,Market Cap (B),Price,SEPA Score,Tech Score,Fund Score,RS Rank,EPS Growth %,Rev Growth %,Streak (days),Status,Strict,EPS Accel
2026-02-25,MU,"Micron Technology, Inc.",Technology,483.87,431.40,100,10,10,98,231.0,69.4,3,RETAINED,Y,Y
2026-02-25,WDC,Western Digital Corporation,Technology,99.83,289.18,100,10,10,98,251.5,31.5,3,RETAINED,Y,Y
2026-02-25,PPIH,"Perma-Pipe International Holdings, Inc.",Industrials,0.27,34.44,100,10,10,94,258.8,35.9,3,RETAINED,Y,Y
2026-02-25,GEV,GE Vernova Inc.,Industrials,240.72,884.64,100,10,10,93,1342.5,36.4,3,RETAINED,Y,Y
2026-02-25,EFXT,Enerflex Ltd.,Energy,2.43,19.81,96,10,9,91,146.7,38.5,3,RETAINED,Y,Y
2026-02-25,BELFB,Bel Fuse Inc.,Technology,2.99,237.04,93,10,8,95,1136.1,19.4,3,RETAINED,N,Y
2026-02-25,AEIS,"Advanced Energy Industries, Inc.",Industrials,12.96,343.85,93,10,8,94,111.7,21.0,3,RETAINED,Y,Y
2026-02-25,CDE,"Coeur Mining, Inc.",Basic Materials,16.06,25.29,91,8,10,97,604.9,81.6,3,RETAINED,Y,Y
2026-02-25,STX,Seagate Technology Holdings plc,Technology,91.51,417.68,91,9,9,96,74.4,30.8,3,RETAINED,Y,Y
2026-02-25,CGAU,Centerra Gold Inc.,Basic Materials,3.90,19.39,91,8,10,95,456.6,30.7,3,RETAINED,Y,Y
2026-02-25,DY,"Dycom Industries, Inc.",Industrials,12.79,427.01,91,8,10,88,225.6,33.9,3,RETAINED,Y,Y
2026-02-25,ARIS,Aris Mining Corporation,Basic Materials,4.43,21.61,90,8,9,97,93.7,70.9,3,RETAINED,Y,Y
2026-02-25,FSM,Fortuna Mining Corp.,Basic Materials,4.17,13.63,90,10,7,93,989.5,-16.8,3,RETAINED,N,Y
2026-02-25,NGL,NGL Energy Partners LP,Energy,1.52,12.15,90,10,7,92,243.8,11.0,3,RETAINED,N,Y
2026-02-25,LITE,Lumentum Holdings Inc.,Technology,53.52,754.03,89,10,7,99,77.3,56.5,3,RETAINED,Y,N
