Date,Ticker,Company,Sector,Market Cap (B),Price,Breakout Readiness Score,Tech Score,Fund Score,RS Rank,EPS Growth %,Rev Growth %,Streak (days),Status,Strict,EPS Accel
2026-02-26,ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,255.16,3073.10,66,6,6,88,29.6,22.2,1,NEW,N,Y
2026-02-26,BPCL.NS,Bharat Petroleum Corporation Limited,Energy,1674.66,386.00,66,8,4,87,88.9,5.2,1,NEW,N,N
2026-02-26,GNA.NS,G N A Axles Limited,Consumer Cyclical,18.10,421.65,65,7,5,89,25.6,7.2,1,NEW,N,Y
2026-02-26,UNIPARTS.NS,Uniparts India Limited,Industrials,21.01,465.95,63,7,4,81,46.0,27.0,1,NEW,N,N
2026-02-26,MCX.NS,Multi Commodity Exchange of India Limited,Financial Services,625.82,2458.90,62,7,5,97,196.1,284.4,1,NEW,N,N
2026-02-26,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,264.00,912.85,62,6,5,89,20.1,7.4,1,NEW,N,Y
2026-02-26,EDELWEISS.NS,Edelweiss Financial Services Limited,Financial Services,111.97,118.20,61,4,7,72,150.5,648.7,1,NEW,N,Y
2026-02-26,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,3572.52,1550.60,59,6,4,80,21.2,21.9,1,NEW,N,N
2026-02-26,RPTECH.NS,Rashi Peripherals Limited,Technology,24.28,368.50,59,6,5,79,43.4,35.6,1,NEW,N,N
2026-02-26,JSL.NS,Jindal Stainless Limited,Basic Materials,666.51,809.15,58,5,6,77,40.2,4.4,1,NEW,N,Y
2026-02-26,JSWSTEEL.NS,JSW Steel Limited,Basic Materials,3128.33,1280.60,55,6,4,79,198.3,10.8,1,NEW,N,N
2026-02-26,RAMCOCEM.NS,The Ramco Cements Limited,Basic Materials,269.42,1140.20,42,4,4,80,111.4,6.2,1,NEW,N,N
