Date,Ticker,Company,Sector,Market Cap (B),Price,SEPA Score,Tech Score,Fund Score,RS Rank,EPS Growth %,Rev Growth %,Streak (days),Status,Strict,EPS Accel
2026-02-26,CLMT,CLMT,--,0.00,29.59,79,8,7,89,670.0,13.5,4,RETAINED,N,Y
2026-02-26,KB,KB Financial Group Inc.,Financial Services,42.39,118.21,79,8,7,88,146.9,5.5,4,RETAINED,N,Y
2026-02-26,PKE,Park Aerospace Corp.,Industrials,0.54,26.85,79,8,7,88,136.8,2.3,4,RETAINED,N,Y
2026-02-26,SHIP,Seanergy Maritime Holdings Corp,Industrials,0.30,14.05,79,8,7,88,92.1,12.8,4,RETAINED,N,Y
2026-02-26,MYE,"Myers Industries, Inc.",Consumer Cyclical,0.85,22.79,79,8,7,87,65.0,0.8,4,RETAINED,N,Y
2026-02-26,TEN,Tsakos Energy Navigation Limited,Energy,1.00,33.11,79,8,7,86,98.9,-1.1,4,RETAINED,N,Y
2026-02-26,INSW,"International Seaways, Inc.",Energy,3.43,69.52,79,8,7,85,96.9,0.9,4,RETAINED,N,Y
2026-02-26,NATR,"Nature's Sunshine Products, Inc.",Consumer Defensive,0.49,27.54,79,8,7,84,1561.7,8.6,4,RETAINED,N,Y
2026-02-26,MG,"Mistras Group, Inc.",Industrials,0.48,15.28,79,8,7,81,152.4,13.2,4,RETAINED,N,Y
2026-02-26,GVA,Granite Construction Incorporated,Industrials,5.91,135.47,79,8,7,80,54.6,66.6,4,RETAINED,N,N
2026-02-26,VICR,Vicor Corporation,Technology,8.86,197.16,78,10,5,98,176.1,14.8,4,RETAINED,N,N
2026-02-26,BVN,BVN,--,0.00,40.01,78,8,6,95,136.4,55.6,4,RETAINED,Y,N
2026-02-26,MTSI,"MACOM Technology Solutions Holdings, Inc.",Technology,19.01,253.37,78,10,5,90,54.0,15.1,4,RETAINED,N,N
2026-02-26,CW,CW,--,0.00,698.72,78,8,6,87,35.2,17.5,4,RETAINED,N,Y
2026-02-26,FNV,Franco-Nevada Corporation,Basic Materials,53.36,275.72,78,6,9,86,63.9,51.9,4,RETAINED,Y,Y
2026-02-26,MSGE,Madison Square Garden Entertainment Corp.,Consumer Cyclical,2.85,60.19,78,5,10,80,1053.7,89.7,4,RETAINED,N,Y
2026-02-26,DTM,"DT Midstream, Inc.",Energy,13.96,137.28,78,7,8,71,57.5,26.1,1,NEW,N,Y
2026-02-26,CPS,CPS,--,0.00,38.79,77,8,7,90,114.4,0.8,4,RETAINED,N,Y
2026-02-26,LUV,Southwest Airlines Co.,Industrials,25.80,49.89,77,7,7,85,116.8,15.8,4,RETAINED,N,Y
2026-02-26,AGCO,AGCO,--,0.00,133.92,77,6,9,70,809.5,42.4,4,RETAINED,N,Y
2026-02-26,GOLD,"Gold.com, Inc.",Financial Services,1.58,56.18,76,6,8,96,36.2,115.2,4,RETAINED,Y,Y
2026-02-26,VAL,Valaris Limited,Energy,6.55,94.18,76,10,4,93,40.7,1.9,4,RETAINED,N,N
2026-02-26,CCJ,CCJ,--,0.00,119.72,76,6,9,92,185.3,52.1,3,RETAINED,Y,Y
2026-02-26,DBD,DBD,--,0.00,82.67,76,8,6,84,497.6,31.3,4,RETAINED,N,N
2026-02-26,SEI,"Solaris Energy Infrastructure, Inc.",Energy,3.96,55.22,76,8,6,81,132.8,73.3,2,RETAINED,N,N
2026-02-26,SSSS,SuRo Capital Corp.,Financial Services,0.24,9.75,76,5,10,77,16557.5,159.3,1,NEW,N,Y
2026-02-26,ASML,ASML,--,0.00,1526.51,75,8,6,90,20.6,25.5,4,RETAINED,N,Y
2026-02-26,AGI,AGI,--,0.00,50.02,75,6,8,89,215.4,23.0,4,RETAINED,Y,Y
2026-02-26,BWLP,BWLP,--,0.00,17.41,75,7,7,83,84.9,11.9,4,RETAINED,N,Y
2026-02-26,PANL,Pangaea Logistics Solutions Ltd.,Industrials,0.59,9.10,75,8,6,83,44.7,14.6,4,RETAINED,N,Y
2026-02-26,GE,GE Aerospace,Industrials,361.69,342.89,75,7,7,76,28.5,28.0,4,RETAINED,N,Y
2026-02-26,AEM,AEM,--,0.00,240.55,73,8,6,91,86.9,44.4,4,RETAINED,Y,N
2026-02-26,KEYS,"Keysight Technologies, Inc.",Technology,51.92,302.18,73,10,4,90,37.9,9.3,4,RETAINED,N,N
2026-02-26,CGNX,CGNX,--,0.00,57.42,73,7,6,89,38.4,16.8,2,RETAINED,N,Y
2026-02-26,REZI,"Resideo Technologies, Inc.",Industrials,6.12,40.86,73,7,7,88,578.3,0.3,4,RETAINED,N,Y
2026-02-26,NSSC,"Napco Security Technologies, Inc.",Industrials,1.68,47.23,73,7,7,82,33.4,9.6,4,RETAINED,N,Y
2026-02-26,EZPW,"EZCORP, Inc.",Financial Services,1.60,25.93,72,8,5,87,74.5,24.7,4,RETAINED,Y,N
2026-02-26,VALE,Vale S.A.,Basic Materials,74.83,17.53,72,7,7,87,286.9,2.9,4,RETAINED,N,Y
2026-02-26,DIOD,DIOD,--,0.00,70.80,72,6,7,83,129.9,17.9,4,RETAINED,N,Y
2026-02-26,ORLA,Orla Mining Ltd.,Basic Materials,6.78,19.94,71,8,5,94,88.9,196.4,4,RETAINED,N,N
2026-02-26,GFI,Gold Fields Limited,Basic Materials,52.36,58.18,71,7,6,93,196.8,71.4,4,RETAINED,Y,N
2026-02-26,IESC,"IES Holdings, Inc.",Industrials,10.06,504.67,71,10,3,90,29.4,4.4,4,RETAINED,N,N
2026-02-26,LPG,Dorian LPG Ltd.,Energy,1.55,36.16,71,7,6,89,483.2,58.1,4,RETAINED,Y,N
2026-02-26,TIGO,Millicom International Cellular S.A.,Communication Services,11.14,66.70,71,8,5,89,509.4,-0.6,4,RETAINED,N,N
2026-02-26,AIR,AIR,--,0.00,117.06,71,6,7,87,288.8,17.3,4,RETAINED,N,Y
2026-02-26,BKR,BKR,--,0.00,64.81,71,7,7,78,117.9,14.9,4,RETAINED,N,Y
2026-02-26,HAL,Halliburton Company,Energy,29.68,35.27,71,7,7,78,188.7,4.4,4,RETAINED,N,Y
2026-02-26,NGS,"Natural Gas Services Group, Inc.",Energy,0.48,38.46,71,7,7,75,101.9,6.7,4,RETAINED,N,Y
2026-02-26,E,Eni S.p.A.,Energy,65.39,44.45,71,7,7,74,249.1,-14.0,4,RETAINED,N,Y
2026-02-26,WTTR,"Select Water Solutions, Inc.",Energy,1.67,13.77,71,7,7,73,63.6,-7.7,2,RETAINED,N,Y
2026-02-26,VTOL,Bristow Group Inc.,Energy,1.35,46.71,71,7,7,71,62.1,9.3,2,RETAINED,N,Y
2026-02-26,UVE,"Universal Insurance Holdings, Inc.",Financial Services,0.93,32.70,71,6,8,70,561.8,4.2,1,NEW,N,Y
2026-02-26,BAP,BAP,--,0.00,355.14,70,6,7,87,54.3,17.6,4,RETAINED,N,Y
2026-02-26,SCHL,Scholastic Corporation,Communication Services,0.86,33.95,70,5,9,78,1452.8,64.3,4,RETAINED,N,Y
2026-02-26,TTC,The Toro Company,Industrials,9.69,99.01,70,7,6,75,38.3,7.2,4,RETAINED,N,Y
2026-02-26,R,"Ryder System, Inc.",Industrials,8.71,220.92,70,7,6,74,34.7,1.5,4,RETAINED,N,Y
2026-02-26,UI,Ubiquiti Inc.,Technology,45.72,755.43,69,8,5,89,29.5,22.7,4,RETAINED,N,N
2026-02-26,MYRG,MYR Group Inc.,Industrials,4.25,274.01,69,8,5,87,101.2,14.5,4,RETAINED,N,N
2026-02-26,JBL,Jabil Inc.,Technology,29.65,277.57,69,8,5,84,24.8,23.4,4,RETAINED,N,N
2026-02-26,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,210.74,18.63,69,6,7,72,356.6,17.9,4,RETAINED,N,Y
2026-02-26,SKYT,"SkyWater Technology, Inc.",Technology,1.40,28.80,68,6,7,96,21109.6,99.7,4,RETAINED,N,N
2026-02-26,BTSG,BTSG,--,0.00,40.80,68,6,7,83,249.0,9.2,4,RETAINED,N,Y
2026-02-26,CC,CC,--,0.00,18.02,68,6,7,83,650.0,7.2,4,RETAINED,N,Y
2026-02-26,IX,ORIX Corporation,Financial Services,39.39,35.62,68,8,4,83,48.5,25.3,4,RETAINED,N,N
2026-02-26,HSBC,HSBC Holdings plc,Financial Services,323.41,94.20,68,6,7,82,1405.4,6.9,4,RETAINED,N,Y
2026-02-26,TEL,TE Connectivity plc,Technology,71.15,242.40,68,6,7,71,5669.2,12.7,2,RETAINED,N,Y
2026-02-26,PAAS,Pan American Silver Corp.,Basic Materials,27.27,64.30,67,8,5,94,56.7,4.8,4,RETAINED,N,N
2026-02-26,DRD,DRDGOLD Limited,Basic Materials,3.18,36.81,67,7,6,93,98.7,32.9,2,RETAINED,Y,N
2026-02-26,HG,"Hamilton Insurance Group, Ltd.",Financial Services,3.11,31.25,67,7,6,74,301.5,16.9,4,RETAINED,N,N
2026-02-26,BEN,BEN,--,0.00,27.26,67,6,7,73,68.8,10.2,4,RETAINED,N,Y
2026-02-26,SON,Sonoco Products Company,Consumer Cyclical,5.51,55.84,67,6,7,72,186.1,478.4,4,RETAINED,N,N
2026-02-26,ALNT,ALNT,--,0.00,66.49,66,8,4,89,115.0,13.7,4,RETAINED,N,N
2026-02-26,HCSG,"Healthcare Services Group, Inc.",Healthcare,1.52,21.58,66,8,4,82,81.4,4.2,4,RETAINED,N,N
2026-02-26,NMR,"Nomura Holdings, Inc.",Financial Services,26.90,9.17,66,6,7,73,27.2,40.1,4,RETAINED,N,Y
2026-02-26,WMB,"The Williams Companies, Inc.",Energy,90.39,73.97,66,6,6,70,33.1,6.6,1,NEW,N,Y
2026-02-26,AZZ,AZZ,--,0.00,134.35,65,7,5,74,103.3,21.0,4,RETAINED,N,N
2026-02-26,COHR,COHR,--,0.00,267.90,64,8,4,96,833.8,12.5,4,RETAINED,N,N
2026-02-26,PRIM,Primoris Services Corporation,Industrials,8.28,153.20,64,6,6,87,75.3,25.1,4,RETAINED,Y,N
2026-02-26,TATT,TAT Technologies Ltd.,Industrials,0.71,54.93,64,6,6,87,35.4,12.6,4,RETAINED,N,Y
2026-02-26,LYG,Lloyds Banking Group plc,Financial Services,84.96,5.78,64,6,6,79,23.6,23.0,4,RETAINED,N,Y
2026-02-26,OII,"Oceaneering International, Inc.",Energy,3.80,37.92,63,8,3,88,27.1,4.1,4,RETAINED,N,N
2026-02-26,CLH,CLH,--,0.00,286.04,63,6,6,73,41.5,8.3,4,RETAINED,N,Y
2026-02-26,DG,DG,--,0.00,154.79,62,8,3,89,47.8,3.3,4,RETAINED,N,N
2026-02-26,IFS,Intercorp Financial Services Inc.,Financial Services,5.64,50.73,62,7,5,78,59.3,-4.7,4,RETAINED,N,N
2026-02-26,CASY,CASY,--,0.00,675.74,62,7,5,76,136.9,15.4,4,RETAINED,N,N
2026-02-26,CFG,CFG,--,0.00,63.06,62,6,6,72,41.6,11.5,4,RETAINED,N,Y
2026-02-26,NTR,Nutrien Ltd.,Basic Materials,35.32,72.53,62,7,5,72,310.6,18.3,4,RETAINED,N,N
2026-02-26,WWD,"Woodward, Inc.",Industrials,23.61,393.58,61,8,3,89,22.7,12.8,4,RETAINED,N,N
2026-02-26,CDLR,CDLR,--,0.00,26.09,61,5,6,87,73.4,79.5,4,RETAINED,Y,N
2026-02-26,CUK,CUK,--,0.00,31.55,61,7,4,81,441.0,9.0,4,RETAINED,N,N
2026-02-26,ROG,Rogers Corporation,Technology,1.99,109.77,61,5,7,74,1620.0,12.4,4,RETAINED,N,Y
2026-02-26,BNS,BNS,--,0.00,75.92,61,5,7,71,93.5,3.5,4,RETAINED,N,Y
2026-02-26,ESLT,Elbit Systems Ltd.,Industrials,35.50,755.52,60,8,3,93,48.2,-0.4,4,RETAINED,N,N
2026-02-26,APH,APH,--,0.00,152.64,60,5,6,85,62.0,33.8,4,RETAINED,Y,N
2026-02-26,TEX,Terex Corporation,Industrials,7.75,68.19,60,7,4,85,200.0,7.2,4,RETAINED,N,N
2026-02-26,SN,"SharkNinja, Inc.",Consumer Cyclical,18.19,128.90,60,7,4,79,46.6,-8.8,4,RETAINED,N,N
2026-02-26,MFG,"Mizuho Financial Group, Inc.",Financial Services,107.79,8.76,60,3,9,78,997.7,32.3,4,RETAINED,N,Y
2026-02-26,FCFS,"FirstCash Holdings, Inc.",Financial Services,8.21,186.12,60,7,4,76,24.6,26.5,4,RETAINED,N,N
2026-02-26,CVE,CVE,--,0.00,21.95,60,5,7,75,780.8,-13.2,4,RETAINED,N,Y
2026-02-26,TRGP,Targa Resources Corp.,Energy,49.52,230.14,60,7,4,71,36.3,-5.8,2,RETAINED,N,N
2026-02-26,SQM,Sociedad Química y Minera de Chile S.A.,Basic Materials,22.72,79.54,59,5,6,87,48.5,9.2,2,RETAINED,N,Y
2026-02-26,KRYS,"Krystal Biotech, Inc.",Healthcare,7.97,272.50,59,4,7,79,74.5,7.3,2,RETAINED,N,Y
2026-02-26,AHR,AHR,--,0.00,52.92,59,7,4,77,76.0,5.6,4,RETAINED,N,N
2026-02-26,SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial Services,143.05,22.48,59,4,7,76,997.6,18.7,4,RETAINED,N,Y
2026-02-26,TILE,"Interface, Inc.",Consumer Cyclical,1.86,31.79,59,4,7,76,112.0,8.8,4,RETAINED,N,Y
2026-02-26,PACS,"PACS Group, Inc.",Healthcare,6.16,39.31,58,7,4,95,40.9,11.3,4,RETAINED,N,N
2026-02-26,NEM,Newmont Corporation,Basic Materials,136.24,124.85,58,7,4,92,30.6,-2.3,4,RETAINED,N,N
2026-02-26,TFPM,Triple Flag Precious Metals Corp.,Basic Materials,8.27,39.89,58,6,4,87,50.0,25.9,4,RETAINED,Y,N
2026-02-26,WS,"Worthington Steel, Inc.",Basic Materials,2.20,43.22,58,6,4,81,36.2,26.8,4,RETAINED,N,N
2026-02-26,DOCN,DOCN,--,0.00,59.27,58,4,7,80,767.0,12.1,4,RETAINED,N,Y
2026-02-26,HUBB,Hubbell Incorporated,Industrials,28.06,527.90,58,7,4,72,32.1,9.3,4,RETAINED,N,N
2026-02-26,PAHC,Phibro Animal Health Corporation,Healthcare,2.15,53.10,57,6,4,88,31.5,7.5,4,RETAINED,N,N
2026-02-26,ROAD,"Construction Partners, Inc.",Industrials,7.71,136.50,57,5,6,86,308.2,41.6,4,RETAINED,Y,N
2026-02-26,APG,APG,--,0.00,44.76,57,5,6,75,38.8,12.0,4,RETAINED,N,Y
2026-02-26,PHIN,PHINIA Inc.,Consumer Cyclical,3.00,78.03,56,6,4,84,73.1,11.7,4,RETAINED,N,N
2026-02-26,NGVT,Ingevity Corporation,Basic Materials,2.54,69.60,56,4,7,79,162.0,11.5,4,RETAINED,N,Y
2026-02-26,WMS,"Advanced Drainage Systems, Inc.",Industrials,13.24,170.00,56,7,3,70,21.3,12.6,4,RETAINED,N,N
2026-02-26,CAAP,CAAP,--,0.00,29.18,55,7,3,77,45.7,11.4,4,RETAINED,N,N
2026-02-26,MOV,"Movado Group, Inc.",Consumer Cyclical,0.56,25.51,55,7,3,74,43.0,6.6,4,RETAINED,N,N
2026-02-26,UMC,United Microelectronics Corporation,Technology,26.56,10.55,54,4,6,84,48.9,-2.1,4,RETAINED,N,Y
2026-02-26,AX,AX,--,0.00,95.18,54,4,6,71,22.0,25.0,3,NEW,N,Y
2026-02-26,HXL,Hexcel Corporation,Industrials,7.38,92.74,53,6,4,76,60.6,7.6,4,RETAINED,N,N
2026-02-26,WCC,"WESCO International, Inc.",Industrials,14.47,297.36,52,4,6,77,35.1,13.6,4,RETAINED,N,Y
2026-02-26,KALU,Kaiser Aluminum Corporation,Basic Materials,2.14,132.12,51,5,4,87,456.3,10.2,4,RETAINED,N,N
2026-02-26,PARR,"Par Pacific Holdings, Inc.",Energy,1.96,38.53,51,4,5,83,371.6,9.9,4,RETAINED,N,N
2026-02-26,HMY,Harmony Gold Mining Company Limited,Basic Materials,13.45,21.54,51,4,5,82,144.7,22.7,2,RETAINED,N,N
2026-02-26,CIB,CIB,--,0.00,74.37,50,4,5,84,28.9,-0.5,4,RETAINED,N,Y
2026-02-26,ASM,ASM,--,0.00,8.89,48,5,4,98,51.3,-13.7,4,RETAINED,N,N
2026-02-26,HRTG,"Heritage Insurance Holdings, Inc.",Financial Services,0.85,27.26,46,3,5,88,148.5,1.0,2,RETAINED,N,N
2026-02-26,HSAI,Hesai Group,Consumer Cyclical,4.33,26.98,46,4,4,85,74.3,10.5,4,RETAINED,N,N
2026-02-26,GGN,"GAMCO Global Gold, Natural Resources & Income Trust",Financial Services,0.89,5.72,45,5,3,71,244.0,1.3,2,RETAINED,N,N
2026-02-26,CCL,CCL,--,0.00,31.70,43,4,4,74,441.0,9.0,2,RETAINED,N,N
2026-02-26,USFD,US Foods Holding Corp.,Consumer Defensive,21.38,95.88,42,3,5,70,60.0,4.8,4,RETAINED,N,N
2026-02-26,INTR,"Inter & Co, Inc.",Financial Services,3.99,9.04,29,2,3,74,22.2,17.2,4,RETAINED,N,N
